web-scraper-order,web-scraper-start-url,getinto-link,getinto-link-href,frequency,class,duration,rate,学时安排,number,active state,课程评价数,授课教师
"1553835875-297","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","计算思维的结构","https://www.icourse163.org/course/GLIET-1001663006","第6次开课","计算机","2019年02月25日 ~ 2019年06月21日","进行至第5周，共17周","4","已有2548人参加","立即参加","(389)","授课老师



董荣胜
教授





钟艳如
教授





李凤英
副教授





孟瑜
副教授





汪华登
高级实验师





孙晋永
讲师"
"1553836662-616","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","营养与健康","https://www.icourse163.org/course/NJU-1001624002","第6次开课","医药卫生","2019年03月11日 ~ 2019年06月10日","进行至第3周，共14周","3","已有8124人参加","立即参加","(354)","授课老师



郑伟娟
教授"
"1553835467-141","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","精密机械设计","https://www.icourse163.org/course/WHU-485001","第6次开课","工学","2019年02月18日 ~ 2019年04月14日","进行至第6周，共8周","4","已有1153人参加","立即参加","(15)","授课老师



许贤泽
教授、博士生导师"
"1553835571-184","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","线性代数与解析几何","https://www.icourse163.org/course/XJTU-1002104010","第4次开课","理学","2019年02月18日 ~ 2019年06月23日","进行至第6周，共18周","3-5小时每周","已有1544人参加","立即参加","(65)","授课老师



李换琴
教授





李继成
教授





张永怀
副教授





刘康民
副教授





张芳
讲师





褚蕾蕾
副教授





齐雪林
讲师





赵小艳
副教授





王勇茂
副教授"
"1553835902-308","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","语文课程标准与教材研究","https://www.icourse163.org/course/BNU-1002227006","第4次开课","教育教学","2019年02月25日 ~ 2019年06月30日","进行至第5周，共18周","2-3小时每周","已有2981人参加","立即参加","(38)","授课老师



郑国民
教授





张心科
教授





徐鹏
副教授





管贤强
讲师





黄志军
讲师"
"1553835506-157","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","互换性与测量技术","https://www.icourse163.org/course/WHUT-1001959010","第5次开课","工学","2019年02月18日 ~ 2019年04月15日","进行至第6周，共8周","4学时/周","已有2379人参加","立即参加","(51)","授课老师



胡业发
教授/博导





张宏
讲师





石绘
讲师





吴彦春
副教授、国家精品在线开放课程负责人、教学名师





程飞月
高级实验师





杜百岗
讲师





庄可佳
讲师





赵敬泽
助理研究员"
"1553835429-125","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","模拟电子技术基础","https://www.icourse163.org/course/HUST-481015","第7次开课","工学","2019年02月14日 ~ 2019年06月23日","进行至第7周，共19周","4-5小时每周","已有23504人参加","立即参加","(118)","授课老师



张林
教授





邓天平
副教授





罗杰
副教授





秦臻
副教授





张惕远
讲师





龙占超
副教授





汪小燕
教授





邹韬平
副教授





蒙文武
讲师





刘建
讲师





刘勃
副教授





刘澍
讲师"
"1553835118-12","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","软件测试","https://www.icourse163.org/course/NJU-1001773008","第2次开课","计算机","2018年04月02日 ~ 2018年06月30日","当前开课已结束","每周4小时","已有19890人参加","已结束，查看内容","(50)","授课老师



陈振宇
教授"
"1553836066-377","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","数学竞赛选讲","https://www.icourse163.org/course/SDU-1002193002","第4次开课","理学","2019年02月26日 ~ 2019年06月03日","进行至第5周，共14周","3-5小时每周","已有2249人参加","立即参加","(13)","授课老师



张天德
教授  著名考研辅导专家





王玮
副教授





崔玉泉
教授





蒋晓芸
教授,博导





闫保英
教授





王建
副教授





陈永刚
讲师





范洪军
副教授





孙同军
教授





吴强
副教授





杜世田
副教授





高夫征
副教授





范红玲
副教授





翟富菊
讲师





朱景阳
教师





曲秀英
副教授





万立娟
高校教师"
"1553835977-340","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","体育与健康","https://www.icourse163.org/course/ECNU-45002","第10次开课","教育教学","2019年02月25日 ~ 2019年06月21日","进行至第5周，共17周","2-3小时每周","已有2340人参加","立即参加","(242)","授课老师



汪晓赞
教授/博士生导师"
"1553836046-369","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","大学物理-力学和热学","https://www.icourse163.org/course/SDU-96002","第10次开课","理学","2019年02月26日 ~ 2019年05月14日","进行至第5周，共12周","2-4小时每周","已有19435人参加","立即参加","(36)","授课老师



刘建强
教授，基础物理教学研究中心主任





于淑云
副教授





李玉香
教授"
"1553835514-160","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","概率论与数理统计","https://www.icourse163.org/course/XJTU-1002106007","第4次开课","理学","2019年02月18日 ~ 2019年06月30日","进行至第6周，共19周","3-5小时每周","已有3811人参加","立即参加","(58)","授课老师



赵小艳
副教授





赫孝良
教授





王宁
副教授





戴永红
副教授





王峰
副教授





吴云江
副教授





孙德龙
讲师





吴春红
讲师"
"1553836145-410","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","周口店野外地质实践教学","https://www.icourse163.org/course/CUG-1001591013","第7次开课","理学","2019年03月01日 ~ 2019年09月30日","进行至第5周，共31周","3-5","已有620人参加","立即参加","(39)","授课老师



袁晏明
教授





严绍军
副教授





王军鹏
讲师





刘德民
副教授





刘强
副教授





汪丙国
副教授"
"1553836536-564","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","信息化领导力","https://www.icourse163.org/course/icourse-1001553014","第11次开课","管理学","2019年03月06日 ~ 2019年05月06日","进行至第4周，共9周","每周3-5小时","已有1348人参加","立即参加","(81)","授课老师



沈书生
教授





柏宏权
副教授





曹梅
副教授"
"1553835375-103","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","标准与我们的生活","https://www.icourse163.org/course/HNU-483007","第3次开课","管理学","2018年11月26日 ~ 2019年01月26日","当前开课已结束","1-2小时每周","已有3725人参加","老师已关闭该学期，无法查看","(29)","授课老师



侯俊军
教授"
"1553835793-262","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","结构化学","https://www.icourse163.org/course/NEU-1001816001","第5次开课","理学","2019年02月25日 ~ 2019年05月20日","进行至第5周，共13周","1-2小时每周","已有2058人参加","立即参加","(20)","授课老师



王军
博士，教授





张学民
讲师"
"1553836339-482","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","采矿学","https://www.icourse163.org/course/NEU-1001639005","第5次开课","工学","2019年03月04日 ~ 2019年07月25日","进行至第4周，共21周","3小时/周","已有590人参加","立即参加","(6)","授课老师



王青
教授，博士生导师，辽宁省教学名师。





顾晓薇
教授 博士生导师





胥孝川
讲师"
"1553836290-462","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","环境与健康","https://www.icourse163.org/course/CCNU-1002082008","第4次开课","理学","2019年03月04日 ~ 2019年06月09日","进行至第4周，共14周","3小时每周","已有855人参加","立即参加","(15)","授课老师



龚胜生
教授





黄建武
教授





敖荣军
教授





梅琳
副教授





杨振
副教授





程绍文
副教授





姜艳
副教授





魏幼红
讲师





张涛
讲师"
"1553835639-213","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","微积分(二)","https://www.icourse163.org/course/BIT-47001","第5次开课","理学","2019年02月20日 ~ 2019年06月13日","进行至第6周，共17周","4","已有7909人参加","立即参加","(22)","授课老师



徐厚宝
副教授





李翠哲
副教授





毛京中
副教授





温海瑞
讲师





周林芳
副教授"
"1553835162-30","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","信息管理学基础","https://www.icourse163.org/course/WHU-21013","第6次开课","管理学","2018年09月05日 ~ 2018年12月05日","当前开课已结束","32","已有6237人参加","已结束，查看内容","(65)","授课老师



马费成
教授





宋恩梅
副教授





赵一鸣
副教授





陆伟
教授





邓胜利
教授





孙永强
副教授"
"1553836717-634","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","生活中的纠纷与解决","https://www.icourse163.org/course/NUEPU-1001941003","第5次开课","法学","2019年03月11日 ~ 2019年06月30日","进行至第3周，共16周","1-2小时每周","已有2067人参加","立即参加","(38)","授课老师



赵旭光
教授





王学棉
教授





李红枫
副教授





方仲炳
教授





田海鑫
讲师"
"1553835958-332","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","计量经济学","https://www.icourse163.org/course/UESTC-1001807007","第5次开课","经济学","2019年02月25日 ~ 2019年06月07日","进行至第5周，共15周","4-6小时每周","已有9296人参加","立即参加","(55)","授课老师



陈磊
副教授





杨政
副教授"
"1553835476-145","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","运动与健康","https://www.icourse163.org/course/HUBU-1001939003","第5次开课","教育教学","2019年02月18日 ~ 2019年05月26日","进行至第6周，共14周","2小时每周","已有10564人参加","立即参加","(286)","授课老师



代方梅
湖北大学体育学院副教授，湖北省全民健身专家库成员，湖北省社会体育指导员培训讲师团主讲教师





刘勇
教授





史文文
副教授"
"1553836450-528","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","工程经济学","https://www.icourse163.org/course/SCU-1002144004","第4次开课","管理学","2019年03月04日 ~ 2019年06月25日","进行至第4周，共17周","2-4","已有2078人参加","立即参加","(38)","授课老师



张欣莉
副教授"
"1553836349-486","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","生殖健康——“性”福学堂","https://www.icourse163.org/course/SCU-46010","第8次开课","医药卫生","2019年03月04日 ~ 2019年06月30日","进行至第4周，共17周","1-2小时/周","已有8634人参加","立即参加","(183)","授课老师



邢爱耘
教授





刘宏伟
主任医师





乔林
副教授





姚强
副主任医师





楼江燕
主任医师





李金科
副主任医师





柳良仁
副教授





李定明
主治医师/讲师"
"1553835725-233","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","线性代数与空间解析几何（二）","https://www.icourse163.org/course/UESTC-1001508001","第7次开课","理学","2019年05月06日 ~ 2019年07月09日","距离开课还有38天","3-5小时每周","已有738人参加","立即参加","(18)","授课老师



黄廷祝
教授 / 博士生导师





蒲和平
教授





何军华
副教授





王转德
副教授





房秀芬
副教授





荆燕飞
研究员





李厚彪
教授





王博
副教授





李红
副教授





原子霞
副教授





王颖
副教授"
"1553836733-641","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","数据库系统（下）：管理与技术","https://www.icourse163.org/course/HIT-1001578001","第7次开课","计算机","2019年03月11日 ~ 2019年06月16日","进行至第3周，共14周","3-5小时每周","已有2687人参加","立即参加","(33)","授课老师



战德臣
教授 博士生导师





张丽杰
教授





史建焘
高级工程师





周丽娜
讲师





宋巧红
副研究员"
"1553836217-432","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","数字电子技术基础","https://www.icourse163.org/course/NJTU-1002105006","第4次开课","工学","2019年03月01日 ~ 2019年07月12日","进行至第5周，共20周","3","已有3804人参加","立即参加","(16)","授课老师



侯建军
教授、博士、博导





黄亮
副教授、博士





任希
副教授





霍炎
教授





高岩
副教授





张建勇
副教授





白双
副教授





郑涛
副教授"
"1553835358-96","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","AIDS and I ──艾滋病与我","https://www.icourse163.org/course/WHU-1002046011","第3次开课","医药卫生","2018年12月01日 ~ 2019年02月05日","当前开课已结束","0.5-1小时 每周","已有2814人参加","老师已关闭该学期，无法查看","(56)","授课老师



熊勇
主任医师





曹倩
主治医师





高世成
主任医师





桂希恩
教授"
"1553836521-558","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","数据库系统概论（高级篇）","https://www.icourse163.org/course/RUC-1001655006","第6次开课","计算机","2019年03月05日 ~ 2019年07月15日","进行至第4周，共19周","3-5小时每周","已有6967人参加","立即参加","(49)","授课老师



王珊
教授





杜小勇
教授





陈红
教授





卢卫
副教授





焦敏
高级工程师





张晓莹
工程师"
"1553837012-759","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","基于Java的面向对象编程范式","https://www.icourse163.org/course/NJU-1002246017","第4次开课","计算机","2019年04月08日 ~ 2019年06月02日","距离开课还有10天","每周2小时","已有357人参加","立即参加","(11)","授课老师



刘钦
讲师"
"1553835320-80","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","管理学","https://www.icourse163.org/course/BNU-1002327008","第3次开课","管理学","2018年10月08日 ~ 2019年01月21日","当前开课已结束","3-5小时每周","已有20513人参加","已结束，查看内容","(135)","授课老师



王文周
经济与工商管理学院副教授"
"1553836362-491","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","马克思主义民族理论与政策","https://www.icourse163.org/course/GXMZ-1001962013","第5次开课","法学","2019年03月04日 ~ 2019年06月30日","进行至第4周，共17周","2","已有2984人参加","立即参加","(1273)","授课老师



龚永辉
教授 博士生导师





郭亮
助理研究员





梁鑫
讲师





欧阳常青
教授





刘霁萱
教师





杨昉
教师





赖莉云
教师"
"1553835367-100","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","大数据算法","https://www.icourse163.org/course/HIT-10001","第3次开课","计算机","2018年12月01日 ~ 2019年02月25日","当前开课已结束","2小时每周","已有37397人参加","老师已关闭该学期，无法查看","(21)","授课老师



王宏志
教授、博士生导师"
"1553836457-531","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","线性代数","https://www.icourse163.org/course/TONGJI-481001","第6次开课","理学","2019年03月04日 ~ 2019年06月21日","进行至第4周，共16周","3-5小时每周","已有22205人参加","立即参加","(183)","授课老师



靳全勤
教授





濮燕敏
副教授





张莉
副教授





孙娟娟
讲师





殷俊锋
教授"
"1553836712-632","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","计算机控制系统","https://www.icourse163.org/course/NEU-1001765003","第6次开课","计算机","2019年03月11日 ~ 2019年06月08日","进行至第3周，共13周","3-4小时/周","已有2113人参加","立即参加","(32)","授课老师



关守平
教授





谭树彬
副教授





刘建昌
教授





尤富强
副教授





陈宏志
副教授





马丹
副教授





于霞
讲师"
"1553836061-375","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","线性代数启蒙","https://www.icourse163.org/course/BUAA-216002","第9次开课","理学","2019年02月26日 ~ 2019年05月26日","进行至第5周，共13周","4小时每周","已有4135人参加","立即参加","(98)","授课老师



李尚志
教授"
"1553836205-427","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","单片机原理与应用","https://www.icourse163.org/course/NJTU-1001729006","第6次开课","工学","2019年03月01日 ~ 2019年06月30日","进行至第5周，共18周","2-4","已有37632人参加","立即参加","(416)","授课老师



戴胜华
教授





李润梅
副教授





付文秀
副教授





杨世武
教授





黄赞武
副教授





周永华
教授





马连川
副教授





于振宇
讲师





蔡文川
讲师





金尚泰
副教授





李正交
实验师"
"1553837121-801","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","形势与政策","https://www.icourse163.org/course/NJNU-1001753089","第5次开课","法学","2019年03月26日 ~ 2019年06月25日","进行至第1周，共14周","3小时每周","已有6521人参加","立即参加","(7021)","授课老师



王刚
教授、博士生导师"
"1553835993-347","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","理论力学","https://www.icourse163.org/course/NWPU-1001955002","第5次开课","工学","2019年02月25日 ~ 2019年06月30日","进行至第5周，共18周","3-5小时","已有1343人参加","立即参加","(47)","授课老师



张娟
教授





王艳
副教授





杨成鹏
副教授





王佩艳
副教授





秦卫阳
教授，博导





于庆民
副教授





陈效鹏
教授"
"1553836582-583","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","高等数学（一）","https://www.icourse163.org/course/XJTU-1001744016","第3次开课","理学","2018年09月03日 ~ 2019年01月11日","当前开课已结束","3-5小时每周","已有53638人参加","已结束，查看内容","(97)","授课老师



李继成
教授





赵小艳
副教授





吴慧卓
副教授





李萍
讲师





王勇茂
副教授





戴永红
副教授





张芳
讲师





常争鸣
教授





武忠祥
教授





李换琴
教授





张永怀
副教授"
"1553836064-376","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","音乐导聆","https://www.icourse163.org/course/SDU-212004","第8次开课","艺术设计","2019年02月26日 ~ 2019年06月06日","进行至第5周，共15周","1-2小时每周","已有17591人参加","立即参加","(262)","授课老师



安宁
博士  教授"
"1553835377-104","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","课堂管理的方法与艺术","https://www.icourse163.org/course/icourse-1001966018","第5次开课","教育教学","2019年01月01日 ~ 2019年03月03日","当前开课已结束","2-5","已有8539人参加","老师已关闭该学期，无法查看","(1510)","授课老师



王浪
副教授





张翼然
讲师





邹立君
教授





屈正良
教授





李纯
中学高级教师





张明萌
讲师





李霖滋
中小学一级教师"
"1553835797-264","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","计算机网络","https://www.icourse163.org/course/HIT-154005","第7次开课","计算机","2019年02月25日 ~ 2019年06月30日","进行至第5周，共18周","3-5学时每周","已有19574人参加","立即参加","(342)","授课老师



李全龙
副教授





聂兰顺
副教授"
"1553836199-424","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","微课设计与制作","https://www.icourse163.org/course/icourse-1001555013","第9次开课","教育教学","2019年03月01日 ~ 2019年05月20日","进行至第5周，共12周","3-5小时每周","已有7189人参加","立即参加","(729)","授课老师



杨上影
高工/网络规划师





郑小军
教授





林雯
副教授





熊冬春
副教授





兰瑞乐
高级工程师





梁梦婕
讲师"
"1553836275-456","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","大学物理（力学、电磁学）","https://www.icourse163.org/course/NEU-1001806008","第4次开课","理学","2019年03月04日 ~ 2019年07月21日","进行至第4周，共20周","3.5","已有9713人参加","立即参加","(101)","授课老师



陈肖慧
教授





杨玉玲
教授





赵国俭
副教授





张建锋
副教授





崔晶磊
讲师





王建平
讲师"
"1553836633-604","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","品读道家智慧","https://www.icourse163.org/course/XJTU-1001522001","第5次开课","文学文化","2019年03月08日 ~ 2019年06月20日","进行至第4周，共15周","2-4小时每周","已有22249人参加","立即参加","(168)","授课老师



韩鹏杰
西安交通大学教授、硕士生导师"
"1553837090-788","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","人体解剖学","https://www.icourse163.org/course/CMU-1002095001","第4次开课","医药卫生","2019年03月25日 ~ 2019年07月01日","进行至第1周，共15周","4小时每周","已有6382人参加","立即参加","(64)","授课老师



李洪鹏
教授"
"1553836486-543","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","大学生创新与创业实践","https://www.icourse163.org/course/SWJTU-1002894001","第2次开课","管理学","2019年03月04日 ~ 2019年06月30日","进行至第4周，共17周","3","已有1269人参加","立即参加","(39)","授课老师



张祖涛
教授/博士生导师





罗大兵
副教授





潘亚嘉
副教授





代宁
副研究员





姬晓旭
讲师"
"1553836403-508","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","婚姻家庭法","https://www.icourse163.org/course/HLJU-1002598074","第3次开课","法学","2019年03月04日 ~ 2019年06月01日","进行至第4周，共13周","3-5小时每周","已有3049人参加","立即参加","(70)","授课老师



王歌雅
博士生导师





李憣
副教授





杨振宏
副教授





司丹
讲师





任江
副教授"
"1553835094-2","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","模拟电路基础","https://www.icourse163.org/course/UESTC-234013","第3次开课","工学","2017年09月04日 ~ 2017年12月30日","当前开课已结束","3-5小时每周","已有26173人参加","已结束，查看内容","(10)","授课老师



何松柏
教授





吴涛
讲师





张彪
讲师





谢建志
讲师





崔红玲
副教授





李雷
副教授





李朝海
教授级高级工程师





兰京川
副教授





游飞
副教授"
"1553836944-731","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","微机原理与接口技术","https://www.icourse163.org/course/JLU-1002056024","第4次开课","计算机","2019年03月18日 ~ 2019年05月27日","进行至第2周，共11周","4-6小时每周","已有2191人参加","立即参加","(31)","授课老师



侯彦利
教授"
"1553836744-646","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","创业计划","https://www.icourse163.org/course/UJS-1002011030","第5次开课","管理学","2019年03月11日 ~ 2019年06月02日","进行至第3周，共12周","3-5小时每周","已有2428人参加","立即参加","(2151)","授课老师



梅强
教授





郭龙建
副教授





赵观兵
副教授





周辉
副教授





李昕
副教授"
"1553835859-290","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","物理化学（上）","https://www.icourse163.org/course/WHU-214001","第9次开课","理学","2019年02月25日 ~ 2019年05月19日","进行至第5周，共12周","2-4小时每周","已有2800人参加","立即参加","(10)","授课老师



王志勇
副教授





汪存信
教授





刘欲文
副教授"
"1553836731-640","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","以学生为中心的学习环境设计","https://www.icourse163.org/course/icourse-1001981001","第5次开课","教育教学","2019年03月11日 ~ 2019年04月29日","进行至第3周，共8周","3-5小时每周","已有1825人参加","立即参加","(102)","授课老师



顾小清
教授





吴忭
副教授"
"1553836623-600","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","电子线路仿真设计与实验实例","https://www.icourse163.org/course/NCGXY-451012","第4次开课","工学","2019年04月22日 ~ 2019年06月12日","距离开课还有24天","1.5小时每周","已有864人参加","立即参加","(23)","授课老师



王连英
教授、高级工程师、技师





胡茗
副教授





万里勇
副教授、数据库系统工程师





封淑玲
副教授





吴芳菲
副教授





魏艳平
副教授





徐佩
讲师





郭阳
讲师





占小波
讲师





黄武涛
讲师





任芳
讲师





陈颖
副教授





张丹丹
讲师"
"1553837136-807","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","营养学","https://www.icourse163.org/course/WHU-490001","第7次开课","工学","2019年02月21日 ~ 2019年05月16日","进行至第6周，共13周","2-4小时每周","已有98074人参加","立即参加","(638)","授课老师



王素青
教授  博士生导师"
"1553836342-483","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","走近马克思","https://www.icourse163.org/course/JNU-1002144003","第3次开课","法学","2019年03月04日 ~ 2019年06月30日","进行至第4周，共17周","3小时每周","已有1243人参加","立即参加","(68)","授课老师



田明
副教授"
"1553836459-532","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","无机化学（上）","https://www.icourse163.org/course/TJU-387002","第4次开课","理学","2019年03月04日 ~ 2019年06月30日","进行至第4周，共17周","4","已有3686人参加","立即参加","(36)","授课老师



马骁飞
副教授





田昀
副教授"
"1553837109-796","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","从自然世界到智能时代","https://www.icourse163.org/course/HNU-1001690002","第5次开课","计算机","2019年04月01日 ~ 2019年07月01日","距离开课还有3天","3-5小时每周","已有1300人参加","立即参加","(41)","授课老师



李智勇
教授 / 博士生导师"
