,课程名,专业类别,所属大学,开课次数,开课日期,结课日期,学时安排,持续周数,当前状态,参加人数,课程评价数,授课教师
0,无机化学（上）,理学,大连理工大学,5,2019-02-19,2019-05-27,4.0,14,立即参加,4193,71,孟长功教授，国家级教学名师，教育部高等学校实验教学指导委员会委员胡涛教授，辽宁省普通高等学校化学类专业教学指导委员会秘书长于永鲜副教授王慧龙大连理工大学化学学院教授陶胜洋副教授刘淑芹副教授
1,大学物理4：光学、近代物理,理学,同济大学,6,2019-02-20,2019-05-25,4.0,14,立即参加,2687,57,倪忠强同济大学物理科学与工程学院 教授顾牡物理科学与工程学院 教授王祖源教授
2,C语言程序设计,计算机,大连理工大学,5,2019-02-25,2019-06-30,4.0,18,立即参加,8696,110,朱鸣华教授罗晓芳副教授孟军教授汪德刚副教授董明副教授洪昕教授陈雪龙副教授王东副教授
3,药物分析,医药卫生,中国药科大学,6,2019-03-04,2019-07-20,1.5,20,立即参加,4280,62,柳文媛教授宋沁馨教授/博士生导师吴春勇副教授
4,c#程序设计,计算机,北京大学,6,2019-02-18,2019-06-18,5.0,18,立即参加,11609,212,唐大仕北京大学博士、教师
5,物理光学,工学,哈尔滨工业大学,7,2019-03-18,2019-07-15,4.0,18,立即参加,1379,8,哈斯乌力吉教授
6,数据结构,计算机,浙江大学,8,2019-03-01,2019-05-30,5.5,13,立即参加,118880,810,陈越教授何钦铭教授
7,实用大众线性代数(MATLAB版),理学,西安电子科技大学,6,2019-03-03,2019-07-12,4.0,19,立即参加,8082,218,杨威副教授陈怀琛教授马建荣教授
8,大学计算机,计算机,北京理工大学,8,2019-02-18,2019-07-31,2.5,24,立即参加,57284,1589,李凤霞教授陈宇峰副教授高玉金讲师冷金麟副教授辛欣讲师赵霞副教授张春英教授李仲君助理研究员余月讲师赵三元讲师
9,结晶学及矿物学,理学,中国地质大学,5,2019-02-25,2019-06-16,4.0,16,立即参加,1885,21,赵珊茸教授 博导钟玉芳副教授余淳梅副教授边秋娟副教授刘嵘副教授
10,计算思维的结构,计算机,桂林电子科技大学,6,2019-02-25,2019-06-21,4.0,17,立即参加,2548,389,董荣胜教授钟艳如教授李凤英副教授孟瑜副教授汪华登高级实验师孙晋永讲师
11,营养与健康,医药卫生,南京大学,6,2019-03-11,2019-06-10,3.0,14,立即参加,8124,354,郑伟娟教授
12,精密机械设计,工学,武汉大学,6,2019-02-18,2019-04-14,4.0,8,立即参加,1153,15,许贤泽教授、博士生导师
13,线性代数与解析几何,理学,西安交通大学,4,2019-02-18,2019-06-23,4.0,18,立即参加,1544,65,李换琴教授李继成教授张永怀副教授刘康民副教授张芳讲师褚蕾蕾副教授齐雪林讲师赵小艳副教授王勇茂副教授
14,语文课程标准与教材研究,教育教学,北京师范大学,4,2019-02-25,2019-06-30,2.5,18,立即参加,2981,38,郑国民教授张心科教授徐鹏副教授管贤强讲师黄志军讲师
15,互换性与测量技术,工学,武汉理工大学,5,2019-02-18,2019-04-15,4.0,9,立即参加,2379,51,胡业发教授/博导张宏讲师石绘讲师吴彦春副教授、国家精品在线开放课程负责人、教学名师程飞月高级实验师杜百岗讲师庄可佳讲师赵敬泽助理研究员
16,模拟电子技术基础,工学,华中科技大学,7,2019-02-14,2019-06-23,4.5,19,立即参加,23504,118,张林教授邓天平副教授罗杰副教授秦臻副教授张惕远讲师龙占超副教授汪小燕教授邹韬平副教授蒙文武讲师刘建讲师刘勃副教授刘澍讲师
17,软件测试,计算机,南京大学,2,2018-04-02,2018-06-30,4.0,13,已结束，查看内容,19890,50,陈振宇教授
18,数学竞赛选讲,理学,山东大学,4,2019-02-26,2019-06-03,4.0,14,立即参加,2249,13,"张天德教授  著名考研辅导专家王玮副教授崔玉泉教授蒋晓芸教授,博导闫保英教授王建副教授陈永刚讲师范洪军副教授孙同军教授吴强副教授杜世田副教授高夫征副教授范红玲副教授翟富菊讲师朱景阳教师曲秀英副教授万立娟高校教师"
19,体育与健康,教育教学,华东师范大学,10,2019-02-25,2019-06-21,2.5,17,立即参加,2340,242,汪晓赞教授/博士生导师
20,大学物理-力学和热学,理学,山东大学,10,2019-02-26,2019-05-14,3.0,12,立即参加,19435,36,刘建强教授，基础物理教学研究中心主任于淑云副教授李玉香教授
21,概率论与数理统计,理学,西安交通大学,4,2019-02-18,2019-06-30,4.0,19,立即参加,3811,58,赵小艳副教授赫孝良教授王宁副教授戴永红副教授王峰副教授吴云江副教授孙德龙讲师吴春红讲师
22,周口店野外地质实践教学,理学,中国地质大学,7,2019-03-01,2019-09-30,4.0,31,立即参加,620,39,袁晏明教授严绍军副教授王军鹏讲师刘德民副教授刘强副教授汪丙国副教授
23,信息化领导力,管理学,爱课程,11,2019-03-06,2019-05-06,4.0,9,立即参加,1348,81,沈书生教授柏宏权副教授曹梅副教授
24,标准与我们的生活,管理学,湖南大学,3,2018-11-26,2019-01-26,1.5,9,老师已关闭该学期，无法查看,3725,29,侯俊军教授
25,结构化学,理学,东北大学,5,2019-02-25,2019-05-20,1.5,13,立即参加,2058,20,王军博士，教授张学民讲师
26,采矿学,工学,东北大学,5,2019-03-04,2019-07-25,3.0,21,立即参加,590,6,王青教授，博士生导师，辽宁省教学名师。顾晓薇教授 博士生导师胥孝川讲师
27,环境与健康,理学,华中师范大学,4,2019-03-04,2019-06-09,3.0,14,立即参加,855,15,龚胜生教授黄建武教授敖荣军教授梅琳副教授杨振副教授程绍文副教授姜艳副教授魏幼红讲师张涛讲师
28,微积分(二),理学,北京理工大学,5,2019-02-20,2019-06-13,4.0,17,立即参加,7909,22,徐厚宝副教授李翠哲副教授毛京中副教授温海瑞讲师周林芳副教授
29,信息管理学基础,管理学,武汉大学,6,2018-09-05,2018-12-05,32.0,14,已结束，查看内容,6237,65,马费成教授宋恩梅副教授赵一鸣副教授陆伟教授邓胜利教授孙永强副教授
30,生活中的纠纷与解决,法学,华北电力大学,5,2019-03-11,2019-06-30,1.5,16,立即参加,2067,38,赵旭光教授王学棉教授李红枫副教授方仲炳教授田海鑫讲师
31,计量经济学,经济学,电子科技大学,5,2019-02-25,2019-06-07,5.0,15,立即参加,9296,55,陈磊副教授杨政副教授
32,运动与健康,教育教学,湖北大学,5,2019-02-18,2019-05-26,2.0,14,立即参加,10564,286,代方梅湖北大学体育学院副教授，湖北省全民健身专家库成员，湖北省社会体育指导员培训讲师团主讲教师刘勇教授史文文副教授
33,工程经济学,管理学,四川大学,4,2019-03-04,2019-06-25,3.0,17,立即参加,2078,38,张欣莉副教授
34,生殖健康——“性”福学堂,医药卫生,四川大学,8,2019-03-04,2019-06-30,1.5,17,立即参加,8634,183,邢爱耘教授刘宏伟主任医师乔林副教授姚强副主任医师楼江燕主任医师李金科副主任医师柳良仁副教授李定明主治医师/讲师
35,线性代数与空间解析几何（二）,理学,电子科技大学,7,2019-05-06,2019-07-09,4.0,10,立即参加,738,18,黄廷祝教授 / 博士生导师蒲和平教授何军华副教授王转德副教授房秀芬副教授荆燕飞研究员李厚彪教授王博副教授李红副教授原子霞副教授王颖副教授
36,数据库系统（下）：管理与技术,计算机,哈尔滨工业大学,7,2019-03-11,2019-06-16,4.0,14,立即参加,2687,33,战德臣教授 博士生导师张丽杰教授史建焘高级工程师周丽娜讲师宋巧红副研究员
37,数字电子技术基础,工学,北京交通大学,4,2019-03-01,2019-07-12,3.0,20,立即参加,3804,16,侯建军教授、博士、博导黄亮副教授、博士任希副教授霍炎教授高岩副教授张建勇副教授白双副教授郑涛副教授
38,AIDS and I ──艾滋病与我,医药卫生,武汉大学,3,2018-12-01,2019-02-05,0.75,10,老师已关闭该学期，无法查看,2814,56,熊勇主任医师曹倩主治医师高世成主任医师桂希恩教授
39,数据库系统概论（高级篇）,计算机,中国人民大学,6,2019-03-05,2019-07-15,4.0,19,立即参加,6967,49,王珊教授杜小勇教授陈红教授卢卫副教授焦敏高级工程师张晓莹工程师
40,基于Java的面向对象编程范式,计算机,南京大学,4,2019-04-08,2019-06-02,2.0,8,立即参加,357,11,刘钦讲师
41,管理学,管理学,北京师范大学,3,2018-10-08,2019-01-21,4.0,16,已结束，查看内容,20513,135,王文周经济与工商管理学院副教授
42,马克思主义民族理论与政策,法学,广西民族大学,5,2019-03-04,2019-06-30,2.0,17,立即参加,2984,1273,龚永辉教授 博士生导师郭亮助理研究员梁鑫讲师欧阳常青教授刘霁萱教师杨昉教师赖莉云教师
43,大数据算法,计算机,哈尔滨工业大学,3,2018-12-01,2019-02-25,2.0,13,老师已关闭该学期，无法查看,37397,21,王宏志教授、博士生导师
44,线性代数,理学,同济大学,6,2019-03-04,2019-06-21,4.0,16,立即参加,22205,183,靳全勤教授濮燕敏副教授张莉副教授孙娟娟讲师殷俊锋教授
45,计算机控制系统,计算机,东北大学,6,2019-03-11,2019-06-08,3.5,13,立即参加,2113,32,关守平教授谭树彬副教授刘建昌教授尤富强副教授陈宏志副教授马丹副教授于霞讲师
46,线性代数启蒙,理学,北京航空航天大学,9,2019-02-26,2019-05-26,4.0,13,立即参加,4135,98,李尚志教授
47,单片机原理与应用,工学,北京交通大学,6,2019-03-01,2019-06-30,3.0,18,立即参加,37632,416,戴胜华教授李润梅副教授付文秀副教授杨世武教授黄赞武副教授周永华教授马连川副教授于振宇讲师蔡文川讲师金尚泰副教授李正交实验师
48,形势与政策,法学,南京师范大学,5,2019-03-26,2019-06-25,3.0,14,立即参加,6521,7021,王刚教授、博士生导师
49,理论力学,工学,西北工业大学,5,2019-02-25,2019-06-30,4.0,18,立即参加,1343,47,张娟教授王艳副教授杨成鹏副教授王佩艳副教授秦卫阳教授，博导于庆民副教授陈效鹏教授
50,高等数学（一）,理学,西安交通大学,3,2018-09-03,2019-01-11,4.0,19,已结束，查看内容,53638,97,李继成教授赵小艳副教授吴慧卓副教授李萍讲师王勇茂副教授戴永红副教授张芳讲师常争鸣教授武忠祥教授李换琴教授张永怀副教授
51,音乐导聆,艺术设计,山东大学,8,2019-02-26,2019-06-06,1.5,15,立即参加,17591,262,安宁博士  教授
52,课堂管理的方法与艺术,教育教学,爱课程,5,2019-01-01,2019-03-03,3.5,9,老师已关闭该学期，无法查看,8539,1510,王浪副教授张翼然讲师邹立君教授屈正良教授李纯中学高级教师张明萌讲师李霖滋中小学一级教师
53,计算机网络,计算机,哈尔滨工业大学,7,2019-02-25,2019-06-30,4.0,18,立即参加,19574,342,李全龙副教授聂兰顺副教授
54,微课设计与制作,教育教学,爱课程,9,2019-03-01,2019-05-20,4.0,12,立即参加,7189,729,杨上影高工/网络规划师郑小军教授林雯副教授熊冬春副教授兰瑞乐高级工程师梁梦婕讲师
55,大学物理（力学、电磁学）,理学,东北大学,4,2019-03-04,2019-07-21,3.0,20,立即参加,9713,101,陈肖慧教授杨玉玲教授赵国俭副教授张建锋副教授崔晶磊讲师王建平讲师
56,品读道家智慧,文学文化,西安交通大学,5,2019-03-08,2019-06-20,3.0,15,立即参加,22249,168,韩鹏杰西安交通大学教授、硕士生导师
57,人体解剖学,医药卫生,中国医科大学,4,2019-03-25,2019-07-01,4.0,15,立即参加,6382,64,李洪鹏教授
58,大学生创新与创业实践,管理学,西南交通大学,2,2019-03-04,2019-06-30,3.0,17,立即参加,1269,39,张祖涛教授/博士生导师罗大兵副教授潘亚嘉副教授代宁副研究员姬晓旭讲师
59,婚姻家庭法,法学,黑龙江大学,3,2019-03-04,2019-06-01,4.0,13,立即参加,3049,70,王歌雅博士生导师李憣副教授杨振宏副教授司丹讲师任江副教授
60,模拟电路基础,工学,电子科技大学,3,2017-09-04,2017-12-30,4.0,17,已结束，查看内容,26173,10,何松柏教授吴涛讲师张彪讲师谢建志讲师崔红玲副教授李雷副教授李朝海教授级高级工程师兰京川副教授游飞副教授
61,微机原理与接口技术,计算机,吉林大学,4,2019-03-18,2019-05-27,5.0,11,立即参加,2191,31,侯彦利教授
62,创业计划,管理学,江苏大学,5,2019-03-11,2019-06-02,4.0,12,立即参加,2428,2151,梅强教授郭龙建副教授赵观兵副教授周辉副教授李昕副教授
63,物理化学（上）,理学,武汉大学,9,2019-02-25,2019-05-19,3.0,12,立即参加,2800,10,王志勇副教授汪存信教授刘欲文副教授
64,以学生为中心的学习环境设计,教育教学,爱课程,5,2019-03-11,2019-04-29,4.0,8,立即参加,1825,102,顾小清教授吴忭副教授
65,电子线路仿真设计与实验实例,工学,南昌工学院,4,2019-04-22,2019-06-12,1.0,8,立即参加,864,23,王连英教授、高级工程师、技师胡茗副教授万里勇副教授、数据库系统工程师封淑玲副教授吴芳菲副教授魏艳平副教授徐佩讲师郭阳讲师占小波讲师黄武涛讲师任芳讲师陈颖副教授张丹丹讲师
66,营养学,工学,武汉大学,7,2019-02-21,2019-05-16,3.0,13,立即参加,98074,638,王素青教授  博士生导师
67,走近马克思,法学,暨南大学,3,2019-03-04,2019-06-30,3.0,17,立即参加,1243,68,田明副教授
68,无机化学（上）,理学,天津大学,4,2019-03-04,2019-06-30,4.0,17,立即参加,3686,36,马骁飞副教授田昀副教授
69,从自然世界到智能时代,计算机,湖南大学,5,2019-04-01,2019-07-01,4.0,14,立即参加,1300,41,李智勇教授 / 博士生导师
70,医学免疫学,医药卫生,南昌大学,4,2019-02-25,2019-06-30,2.5,18,立即参加,4064,56,傅颖媛教授
71,高等数学（四）,理学,国防科技大学,5,2018-04-09,2018-06-10,4.0,9,已结束，查看内容,31528,29,朱健民教授李建平教授黄建华教授王晓教授周敏教授刘雄伟副教授罗永副教授赵侠副教授吴强副教授王焱副教授
72,自动控制元件,工学,哈尔滨工程大学,5,2019-03-04,2019-06-30,3.0,17,立即参加,1581,39,池海红副教授王显峰高级实验师吕淑平教授张敬南副教授巩冰讲师赵新华副教授
73,秦汉考古,历史,河南大学,5,2019-02-25,2019-06-17,2.5,17,立即参加,3784,520,张玲博士，讲师。刘春迎教授臧德清讲师滕亚秋职称：助教；职务：教务办主任。
74,画法几何及土木工程制图（下）,工学,大连理工大学,4,2019-02-24,2019-05-27,4.5,14,立即参加,2541,17,王子茹教授何斌副教授
75,选矿厂设计,工学,中国矿业大学,5,2019-04-01,2019-05-31,3.5,9,立即参加,117,23,匡亚莉教授、博士生导师陶有俊教授/博导曹亦俊教授马子龙讲师王章国讲师夏文成副教授
76,心理学与生活,心理学,南京大学,7,2019-03-11,2019-06-16,2.5,14,立即参加,27459,1897,陈昌凯副教授
77,分析化学（二）：仪器分析,理学,湖南大学,5,2019-02-26,2019-07-02,4.0,19,立即参加,3917,25,王玉枝教授宦双燕教授王青教授羊小海教授蒋健晖教授
78,无机化学——化学反应原理,理学,哈尔滨工业大学,6,2019-02-25,2019-05-27,4.0,14,立即参加,2442,27,张兴文哈尔滨工业大学，副教授，黑龙江省教学新秀。周玉祥哈尔滨工业大学，化工与化学学院，副教授。王宇副教授李德凤副教授方习奎教授
79,计算机图形学,计算机,中国农业大学,7,2019-03-11,2019-05-31,3.5,12,立即参加,2459,57,赵明教授
80,数字电子技术,工学,中南大学,6,2019-02-28,2019-07-15,4.0,20,立即参加,2555,64,覃爱娜博士，副教授李飞博士，副教授，硕士生导师。罗桂娥博士，教授，硕士生导师。刘献如讲师陈丽萍讲师刘波博士，副教授
81,机械原理,工学,东北大学,5,2019-03-01,2019-05-12,4.0,11,立即参加,2623,14,李翠玲副教授
82,环境变迁与人类生育力改变,医药卫生,武汉大学,6,2018-10-08,2019-01-17,1.5,15,已结束，查看内容,2075,15,杨菁教授徐望明教授龙文教授明蕾教授程丹副主任医师李赛姣主治医师肖卓妮副主任医师李洁副主任医师王雅琴主治医师闫文杰住院医师
83,流行病学基础（二）,医药卫生,北京大学,5,2019-03-30,2019-06-30,1.25,14,立即参加,438,22,吴涛副教授
84,微积分（一）,理学,电子科技大学,3,2018-09-17,2018-12-20,4.0,14,已结束，查看内容,11533,11,高建教授冷劲松教授汪小平讲师高中喜副教授余时伟讲师程光辉教授何国良副教授米文副教授夏红副教授窦芳芳副教授王晓梅副教授刘碧森无
85,大学物理1：力学、相对论,理学,同济大学,10,2019-02-18,2019-05-18,3.0,13,立即参加,18453,151,武荷岚博士，副教授，研究生导师，美国哈佛大学访问学者。研究方向：教育技术学、物理教育。
86,马克思主义基本原理概论,法学,南京航空航天大学,4,2019-02-26,2019-06-16,4.0,16,立即参加,3475,255,王岩教授/博士生导师邓伯军教授/博士生导师徐地龙副教授孙卫卫副教授马杏苗副教授徐华伟高级实验师薛葵副教授陈红桂副教授何畏副教授
87,毛泽东思想和中国特色社会主义理论体系概论,法学,福建农林大学,6,2019-03-10,2019-06-15,3.5,14,立即参加,2856,91,黄秀玲讲师
88,数据结构,计算机,华中科技大学,4,2019-03-11,2019-06-28,4.0,16,立即参加,5505,301,李国徽教授袁凌副教授祝建华副教授许贵平副教授周时阳副教授
89,博弈论基础,经济学,浙江大学,10,2019-03-18,2019-06-11,3.0,13,立即参加,36238,1069,蒋文华副教授
90,结构力学——超静定结构力学,工学,大连理工大学,3,2018-11-26,2019-02-25,6.0,14,老师已关闭该学期，无法查看,2413,6,陈廷国教授曲激婷副教授
91,计算机组成原理（上）,计算机,哈尔滨工业大学,8,2019-02-25,2019-06-24,4.0,18,立即参加,10425,216,刘宏伟教授、博士生导师张丽杰教授舒燕君讲师张展副教授
92,创业团队建设与管理,管理学,首都经济贸易大学,5,2019-03-04,2019-06-30,1.5,17,立即参加,1635,39,马力副教授
93,管理运筹学,管理学,北京理工大学,9,2019-03-08,2019-06-24,4.0,16,立即参加,3904,52,韩伯棠教授，博士生导师赵先教授，博士生导师钟华副教授王建才副教授侯福均副教授
94,病原生物与人类,医药卫生,复旦大学,6,2019-04-16,2019-06-16,2.0,9,立即参加,856,23,邵红霞高级讲师卢洪洲教授，主任医师程训佳教授
95,数字信号处理,工学,电子科技大学,5,2019-02-20,2019-06-25,2.0,18,立即参加,7510,42,朱学勇教授，就职于电子科技大学通信与信息学院。专业方向：通信中的信号处理。杨鍊副教授潘晔副教授李玉柏教授林静然副教授利强副教授武畅副教授
96,环境学基础,工学,南开大学,3,2019-02-18,2019-06-16,4.0,17,立即参加,1840,28,楚春礼副教授，硕士生导师
97,通信网络基础,工学,西安电子科技大学,2,2018-04-30,2018-07-31,1.0,14,已结束，查看内容,9217,7,盛敏教授马英红副教授张琰副教授李红艳教授杨春刚副教授刘勤副教授刘伟教授黄鹏宇讲师孙红光中级刘俊宇讲师刘润滋讲师
98,微积分（一）,理学,北京理工大学,5,2018-09-10,2019-01-05,4.0,17,已结束，查看内容,65865,35,徐厚宝副教授毛京中副教授李翠哲副教授周林芳副教授温海瑞讲师
99,马克思主义哲学原理精粹九讲,哲学,武汉大学,10,2019-03-04,2019-06-30,3.0,17,立即参加,4848,93,汪信砚教授
100,导引系统原理,工学,西北工业大学,3,2018-09-18,2018-12-10,4.0,12,老师已关闭该学期，无法查看,1436,4,周军教授卢晓东副教授赵斌副教授郭建国教授
101,经济学,经济学,电子科技大学,5,2019-02-25,2019-07-15,4.0,21,立即参加,5086,51,马永开教授鞠晴江副教授梁媛副教授李耀副教授丁亚副教授马捷副教授
102,慕课问道,教育教学,北京大学,5,2017-09-11,2017-10-23,2.5,7,已结束，查看内容,6004,4,李晓明教授
103,传感器技术,工学,武汉大学,7,2019-02-18,2019-05-15,1.5,13,立即参加,3983,78,吴琼水副教授周辉副教授张铮高级工程师
104,国际私法,法学,暨南大学,3,2018-09-01,2018-12-30,2.0,18,已结束，查看内容,5097,44,戴霞副教授李健男教授吕国民副教授
105,脑洞大开背后的创新思维,管理学,大连理工大学,6,2019-03-04,2019-06-16,4.0,15,立即参加,3799,253,冯林教授，博士生导师，大连理工大学创新创业学院院长。张崴高级工程师吴振宇副教授刘胜蓝副教授王飞龙工程师
106,财政学,经济学,浙江财经大学,5,2019-03-04,2019-06-30,4.0,17,立即参加,1714,29,钟晓敏教授
107,地下结构数值计算方法,工学,福州大学,6,2019-03-25,2019-06-25,1.5,14,立即参加,476,22,缪圆冰高级工程师
108,文学欣赏与批评,文学文化,武汉大学,10,2019-02-18,2019-05-31,2.0,15,立即参加,5256,105,陈国恩教授，博士生导师
109,大学物理典型问题解析—振动、波动与光学,理学,北京理工大学,5,2019-04-29,2019-06-26,4.0,9,立即参加,772,7,李英兰副教授刘兆龙教授
110,冷战史专题,历史,华东师范大学,5,2019-02-25,2019-07-02,4.0,19,立即参加,4252,378,沈志华教授
111,行政法学,法学,武汉大学,8,2019-03-03,2019-07-01,1.0,18,立即参加,5899,23,江国华教授 博士生导师
112,工程力学,工学,华中科技大学,7,2019-02-18,2019-06-25,4.0,19,立即参加,5844,23,王元勋教授胡洪平副教授魏俊红讲师安群力讲师杨新华教授胡元太教授陈传尧教授
113,创业：道与术,管理学,中南财经政法大学,1,2018-12-17,2019-03-15,1.5,13,老师已关闭该学期，无法查看,2065,10,汪军民教授
114,走近中华优秀传统文化,哲学,南京大学,4,2019-03-04,2019-06-30,2.5,17,立即参加,3987,661,张亮教授，博士生导师。胡星铭副教授邵佳德助理研究员
115,信息安全概论,计算机,中国农业大学,5,2018-09-17,2018-11-30,4.0,11,已结束，查看内容,3993,35,吕春利副教授
116,模拟电子技术基础,工学,国防科技大学,5,2019-02-25,2019-07-01,4.0,19,立即参加,2597,67,杜湘瑜教授刘安芝副教授罗笑冰副教授计科峰副教授李悦丽副教授于红旗副教授陈绍荣讲师程江华副教授张亮讲师
117,数据库系统概论（新技术篇）,计算机,中国人民大学,5,2019-03-19,2019-07-15,2.5,17,立即参加,4652,12,王珊教授杜小勇教授陈红教授文继荣教授李翠平教授张延松副教授周烜副教授秦波副教授覃雄派讲师张孝副教授陈跃国教授窦志成教授卢卫副教授魏哲巍副教授卢志武副教授赵鑫副教授刘家俊副教授焦敏高级工程师张晓莹工程师
118,画法几何与技术制图基础,工学,中国农业大学,5,2018-09-17,2019-01-13,4.0,17,老师已关闭该学期，无法查看,5512,3,李丽教授张彦娥教授吴红丹副教授刘韶军副教授王海华副教授梅树立教授
119,中国近现代史纲要,法学,中南大学,7,2019-03-04,2019-06-30,3.0,17,立即参加,2129,479,吴争春副教授王翔副教授刘志刚副教授张金荣教授万琼华教授陈文联教授罗春梅副教授李斌副教授梅乐讲师李兰兰讲师
120,电器理论基础,工学,福州大学,7,2019-03-12,2019-07-02,4.0,17,立即参加,869,71,许志红教授、博士生导师、院长郑昕副教授汤龙飞讲师
121,C程序设计,计算机,西北工业大学,8,2019-02-25,2019-06-09,4.0,15,立即参加,5398,94,姜学锋副教授刘君瑞副教授
122,海上货物运输,工学,大连海事大学,5,2019-03-04,2019-06-23,3.0,16,立即参加,809,45,田佰军船长 副教授王文新副教授姜华副教授
123,轮机自动化,工学,大连海事大学,4,2019-02-18,2019-05-19,4.0,13,立即参加,815,15,甘辉兵副教授张均东教授贾宝柱副教授曾鸿副教授
124,计算机专业导论,计算机,哈尔滨工业大学,8,2019-04-15,2019-07-28,4.0,15,立即参加,1704,136,战德臣教授 博士生导师张丽杰教授聂兰顺副教授宋巧红副研究员
125,C++语言程序设计（上）,计算机,中国农业大学,8,2019-02-25,2019-05-19,4.0,12,立即参加,5161,58,阚道宏副教授
126,高级财务会计,管理学,江西财经大学,4,2019-03-04,2019-06-20,32.0,16,立即参加,2959,174,彭晓洁教授管考磊副教授熊家财副教授荣莉教授刘淑华讲师李世刚讲师谢波讲师
127,F3：财务会计,管理学,西安交通大学,4,2019-02-13,2019-04-21,5.0,10,立即参加,5136,11,骆蕾讲师
128,计算机组成原理,计算机,电子科技大学,5,2019-03-11,2019-07-14,4.0,18,立即参加,11491,87,纪禄平副教授 / 博士生导师罗克露教授张建讲师刘辉讲师
129,中药与美容,医药卫生,中国药科大学,6,2018-09-03,2018-10-12,2.0,6,已结束，查看内容,27423,608,王秋副教授
130,结构生物化学,理学,南京大学,4,2018-07-22,2018-11-25,5.0,19,已结束，查看内容,15458,64,杨荣武教授
131,《道德经》的智慧启示,文学文化,中国海洋大学,7,2019-03-06,2019-06-23,4.5,16,立即参加,7787,581,丁玉柱丁玉柱，中国海洋大学副教授、硕士生导师，海洋文学与艺术研究所所长，南京大学文学硕士。
132,高等数学(二),理学,西安交通大学,3,2019-02-18,2019-06-30,4.0,19,立即参加,22156,61,李继成教授赵小艳副教授吴慧卓副教授李萍讲师戴永红副教授张芳讲师王勇茂副教授李换琴教授武忠祥教授常争鸣教授张永怀副教授王峰副教授
133,普通天文学,理学,南京大学,3,2018-10-08,2018-12-31,2.0,13,已结束，查看内容,6981,113,李向东教授
134,现代礼仪,文学文化,湖南大学,10,2019-03-04,2019-06-21,1.5,16,立即参加,84858,1598,袁涤非教授
135,数字信号处理,工学,南京邮电大学,4,2019-02-18,2019-06-24,4.0,19,立即参加,1651,61,杨震教授、博士生导师王颖翠讲师梁涓副教授叶蕾副教授朱艳讲师季薇副教授张玲华教授徐欣副教授邵曦副教授邓立新副教授
136,大学化学(上),理学,中南大学,6,2018-09-24,2019-02-03,4.0,19,已结束，查看内容,16206,15,王一凡教授刘绍乾副教授钱频讲师王曼娟讲师何跃武副教授肖旭贤副教授张寿春副教授颜军教授文莉副教授易小艺教授周建良副教授
137,体育舞蹈与文化,艺术设计,大连理工大学,4,2019-03-04,2019-06-09,2.5,14,立即参加,1661,157,刘君副教授
138,针灸学导论,医药卫生,北京中医药大学,8,2019-03-19,2019-06-30,2.5,15,立即参加,5942,490,马文珠教授/主任医师赵百孝教授张莉教授王燕平教授侯中伟副教授
139,国防教育——军事理论,教育教学,西安交通大学,9,2019-02-18,2019-06-17,3.0,18,立即参加,1178,612,张正明二级教授问鸿滨教授徐宇春副教授李科教授初阔林副教授闫忠林副教授刘玉青副教授
140,C#程序设计,计算机,西北工业大学,7,2019-02-25,2019-06-09,4.0,15,立即参加,2238,23,刘君瑞副教授
141,求职OMG-大学生就业指导与技能开发,管理学,中国海洋大学,5,2019-03-05,2019-06-25,1.5,17,立即参加,2106,89,辛远征教师乔宝刚教师
142,MIB国际商务,管理学,浙江工商大学,2,2018-10-16,2018-12-31,2.0,11,老师已关闭该学期，无法查看,7038,442,朱勤教授赵英军教授王永齐副教授刘文革教授张友仁教授肖迪副教授
143,灾难逃生与自救,医药卫生,同济大学,5,2019-02-25,2019-05-17,4.0,12,立即参加,2410,256,刘中民上海市东方医院院长、医学博士、主任医师、教授、博士生导师、国务院特殊津贴专家、上海市领军人才
144,高等数学（五）,理学,国防科技大学,5,2018-05-21,2018-07-08,4.0,7,已结束，查看内容,24692,13,朱健民教授李建平教授黄建华教授王晓教授周敏教授刘雄伟副教授罗永副教授赵侠副教授吴强副教授王焱副教授
145,海绵城市建设理念与工程应用,工学,福州大学,4,2019-03-11,2019-06-02,2.0,12,立即参加,1180,38,"刘德明教授,教高康得军副教授"
146,环境污染事件与应急响应,工学,北京师范大学,6,2019-03-01,2019-06-07,2.0,15,立即参加,873,36,田光进副教授
147,微积分（二）,理学,电子科技大学,3,2018-11-12,2019-01-20,4.0,10,已结束，查看内容,11216,8,高建教授冷劲松教授汪小平讲师高中喜副教授余时伟讲师程光辉教授何国良副教授米文副教授夏红副教授窦芳芳副教授王晓梅副教授刘碧森无
148,中级财务会计（一）,管理学,哈尔滨工业大学,8,2019-03-01,2019-06-30,5.0,18,立即参加,10133,89,高艳茹副教授、硕士研究生导师
149,结构力学（一）,工学,西南交通大学,8,2019-02-20,2019-05-28,4.0,14,立即参加,3390,34,罗永坤副教授蔡婧副教授
150,“爱上广告”——广告艺术鉴赏,艺术设计,南京邮电大学,5,2019-03-04,2019-06-25,1.0,17,立即参加,4075,82,余洋副教授
151,大学物理2：振动与波动、热学,理学,同济大学,9,2019-03-25,2019-06-25,4.0,14,立即参加,3087,17,刘海兰同济大学 物理科学与工程学院 副教授吴天刚同济大学物理科学与工程学院 教授倪忠强同济大学物理科学与工程学院 教授
